line_id,order_id,pick_date,picker_id,sku,lot_code,qty_ordered,error_type
55,5010,2026-01-05,P08,SKU1019,L202608-0085,1,
56,5010,2026-01-05,P08,SKU1018,L202552-0079,2,
57,5010,2026-01-05,P08,SKU1004,L202548-0017,3,
58,5010,2026-01-05,P08,SKU1012,L202613-0051,4,
59,5011,2026-01-05,P06,SKU1008,L202613-0036,5,
60,5011,2026-01-05,P06,SKU1015,L202608-0066,12,
61,5011,2026-01-05,P06,SKU1011,L202602-0046,11,
62,5011,2026-01-05,P06,SKU1020,L202616-0086,1,
63,5011,2026-01-05,P06,SKU1006,L202601-0024,10,
64,5011,2026-01-05,P06,SKU1004,L202548-0017,11,
65,5011,2026-01-05,P06,SKU1006,L202608-0025,12,
66,5011,2026-01-05,P06,SKU1011,L202602-0046,10,
67,5012,2026-01-05,P02,SKU1009,L202621-0037,10,
68,5012,2026-01-05,P02,SKU1009,L202625-0041,11,
69,5012,2026-01-05,P02,SKU1012,L202608-0052,12,
70,5012,2026-01-05,P02,SKU1018,L202547-0080,2,
71,5013,2026-01-05,P05,SKU1025,L202620-0106,6,
72,5013,2026-01-05,P05,SKU1021,L202545-0091,2,
73,5013,2026-01-05,P05,SKU1010,L202607-0042,7,
74,5014,2026-01-05,P02,SKU1011,L202621-0048,8,
75,5014,2026-01-05,P02,SKU1013,L202545-0056,12,
76,5014,2026-01-05,P02,SKU1020,L202617-0087,10,
77,5014,2026-01-05,P02,SKU1017,L202603-0078,8,
78,5014,2026-01-05,P02,SKU1023,L202619-0100,5,
79,5014,2026-01-05,P02,SKU1007,L202607-0027,5,
80,5014,2026-01-05,P02,SKU1007,L202614-0030,10,
81,5014,2026-01-05,P02,SKU1012,L202613-0051,1,
82,5015,2026-01-05,P06,SKU1015,L202608-0066,6,
83,5015,2026-01-05,P06,SKU1010,L202546-0044,10,
84,5015,2026-01-05,P06,SKU1008,L202616-0033,9,
85,5015,2026-01-05,P06,SKU1002,L202621-0008,12,
86,5016,2026-01-05,P04,SKU1020,L202552-0088,8,
87,5016,2026-01-05,P04,SKU1000,L202546-0001,5,
88,5016,2026-01-05,P04,SKU1022,L202609-0095,5,
89,5016,2026-01-05,P04,SKU1011,L202620-0047,9,
90,5016,2026-01-05,P04,SKU1013,L202612-0059,6,
91,5016,2026-01-05,P04,SKU1014,L202552-0062,5,
92,5016,2026-01-05,P04,SKU1003,L202623-0015,4,
93,5016,2026-01-05,P04,SKU1023,L202619-0100,12,
94,5016,2026-01-05,P04,SKU1006,L202601-0026,8,
95,5017,2026-01-05,P05,SKU1006,L202608-0025,4,
96,5017,2026-01-05,P05,SKU1009,L202621-0037,12,
97,5017,2026-01-05,P05,SKU1008,L202616-0033,1,
98,5018,2026-01-05,P03,SKU1003,L202620-0013,10,
99,5018,2026-01-05,P03,SKU1015,L202602-0067,6,
100,5018,2026-01-05,P03,SKU1001,L202601-0005,8,
101,5018,2026-01-05,P03,SKU1002,L202601-0010,8,
102,5018,2026-01-05,P03,SKU1020,L202552-0088,1,
103,5018,2026-01-05,P03,SKU1025,L202548-0108,2,
104,5018,2026-01-05,P03,SKU1003,L202623-0015,7,
105,5018,2026-01-05,P03,SKU1025,L202613-0107,9,
106,5018,2026-01-05,P03,SKU1014,L202552-0062,10,
107,5019,2026-01-05,P05,SKU1019,L202608-0085,2,
108,5019,2026-01-05,P05,SKU1006,L202601-0026,4,
109,5020,2026-01-05,P02,SKU1007,L202603-0028,9,
110,5020,2026-01-05,P02,SKU1000,L202601-0002,8,
111,5020,2026-01-05,P02,SKU1015,L202602-0067,1,
112,5020,2026-01-05,P02,SKU1022,L202617-0096,12,
113,5021,2026-01-05,P02,SKU1008,L202615-0034,7,
114,5021,2026-01-05,P02,SKU1007,L202548-0032,3,
115,5021,2026-01-05,P02,SKU1004,L202547-0016,1,
116,5021,2026-01-05,P02,SKU1009,L202625-0041,12,
117,5021,2026-01-05,P02,SKU1009,L202611-0040,2,
118,5022,2026-01-05,P05,SKU1008,L202613-0036,8,
119,5022,2026-01-05,P05,SKU1001,L202601-0005,12,
120,5022,2026-01-05,P05,SKU1008,L202616-0033,2,
121,5022,2026-01-05,P05,SKU1021,L202550-0093,10,
122,5022,2026-01-05,P05,SKU1024,L202616-0103,10,
123,5022,2026-01-05,P05,SKU1024,L202624-0102,8,
124,5022,2026-01-05,P05,SKU1014,L202552-0062,3,
125,5022,2026-01-05,P05,SKU1013,L202624-0058,2,
126,5023,2026-01-05,P07,SKU1010,L202607-0042,3,
127,5023,2026-01-05,P07,SKU1022,L202625-0097,5,
128,5023,2026-01-05,P07,SKU1012,L202612-0053,1,
129,5023,2026-01-05,P07,SKU1010,L202546-0044,6,
130,5023,2026-01-05,P07,SKU1024,L202547-0104,9,
131,5023,2026-01-05,P07,SKU1000,L202618-0003,9,
132,5023,2026-01-05,P07,SKU1001,L202546-0004,9,
133,5024,2026-01-05,P08,SKU1024,L202611-0101,4,
134,5024,2026-01-05,P08,SKU1004,L202548-0017,8,
135,5024,2026-01-05,P08,SKU1015,L202608-0066,1,
136,5024,2026-01-05,P08,SKU1019,L202624-0083,12,
137,5024,2026-01-05,P08,SKU1017,L202625-0075,9,
138,5024,2026-01-05,P08,SKU1007,L202607-0027,8,
139,5024,2026-01-05,P08,SKU1020,L202616-0086,8,
140,5024,2026-01-05,P08,SKU1009,L202625-0041,12,
141,5024,2026-01-05,P08,SKU1015,L202602-0067,4,
142,5025,2026-01-05,P03,SKU1006,L202601-0026,9,
143,5025,2026-01-05,P03,SKU1004,L202547-0016,5,
144,5025,2026-01-05,P03,SKU1013,L202601-0057,9,
145,5025,2026-01-05,P03,SKU1000,L202601-0002,12,
146,5025,2026-01-05,P03,SKU1018,L202611-0082,3,
147,5025,2026-01-05,P03,SKU1015,L202602-0067,6,
148,5025,2026-01-05,P03,SKU1017,L202603-0078,8,
149,5025,2026-01-05,P03,SKU1006,L202601-0026,4,
150,5026,2026-01-05,P04,SKU1001,L202601-0005,12,
151,5026,2026-01-05,P04,SKU1025,L202623-0109,7,
152,5026,2026-01-05,P04,SKU1025,L202613-0107,8,
153,5026,2026-01-05,P04,SKU1004,L202607-0018,10,
154,5026,2026-01-05,P04,SKU1003,L202607-0014,2,
155,5026,2026-01-05,P04,SKU1014,L202601-0060,12,
156,5026,2026-01-05,P04,SKU1020,L202616-0086,2,
157,5026,2026-01-05,P04,SKU1008,L202607-0035,10,
158,5027,2026-01-05,P02,SKU1021,L202550-0093,7,
159,5027,2026-01-05,P02,SKU1020,L202552-0088,8,
160,5027,2026-01-05,P02,SKU1001,L202619-0006,2,
161,5027,2026-01-05,P02,SKU1021,L202545-0091,4,
162,5027,2026-01-05,P02,SKU1013,L202546-0055,11,
163,5027,2026-01-05,P02,SKU1003,L202607-0014,3,
164,5027,2026-01-05,P02,SKU1000,L202546-0001,6,
165,5028,2026-01-05,P05,SKU1011,L202620-0047,3,
166,5028,2026-01-05,P05,SKU1013,L202612-0059,11,
167,5028,2026-01-05,P05,SKU1005,L202601-0020,2,
168,5028,2026-01-05,P05,SKU1012,L202612-0053,11,
169,5028,2026-01-05,P05,SKU1018,L202547-0080,4,
170,5028,2026-01-05,P05,SKU1008,L202613-0036,5,
171,5028,2026-01-05,P05,SKU1025,L202623-0109,5,
172,5029,2026-01-05,P03,SKU1014,L202552-0062,10,
173,5029,2026-01-05,P03,SKU1013,L202601-0057,8,
174,5029,2026-01-05,P03,SKU1006,L202608-0025,8,
175,5030,2026-01-05,P07,SKU1018,L202547-0081,12,
176,5030,2026-01-05,P07,SKU1021,L202548-0092,5,
177,5030,2026-01-05,P07,SKU1021,L202607-0089,10,
178,5030,2026-01-05,P07,SKU1009,L202604-0038,10,
179,5030,2026-01-05,P07,SKU1007,L202548-0032,4,
180,5030,2026-01-05,P07,SKU1021,L202610-0090,11,
181,5030,2026-01-05,P07,SKU1020,L202552-0088,1,
182,5031,2026-01-05,P08,SKU1018,L202547-0081,12,
183,5031,2026-01-05,P08,SKU1009,L202610-0039,12,
184,5032,2026-01-05,P04,SKU1025,L202548-0108,9,
185,5032,2026-01-05,P04,SKU1008,L202615-0034,5,
186,5032,2026-01-05,P04,SKU1015,L202602-0067,12,
187,5032,2026-01-05,P04,SKU1025,L202620-0106,8,
188,5033,2026-01-05,P03,SKU1021,L202548-0092,9,
189,5033,2026-01-05,P03,SKU1025,L202623-0109,1,
190,5033,2026-01-05,P03,SKU1003,L202607-0014,6,
191,5033,2026-01-05,P03,SKU1021,L202545-0091,10,
192,5033,2026-01-05,P03,SKU1020,L202617-0087,2,
193,5034,2026-01-05,P08,SKU1019,L202608-0085,6,
194,5034,2026-01-05,P08,SKU1007,L202548-0032,2,
195,5035,2026-01-05,P08,SKU1020,L202617-0087,2,
196,5035,2026-01-05,P08,SKU1001,L202601-0005,8,
197,5035,2026-01-05,P08,SKU1007,L202601-0031,3,
198,5035,2026-01-05,P08,SKU1011,L202621-0048,12,
199,5035,2026-01-05,P08,SKU1017,L202603-0078,10,
200,5035,2026-01-05,P08,SKU1004,L202548-0017,11,
201,5036,2026-01-05,P08,SKU1008,L202616-0033,12,
202,5036,2026-01-05,P08,SKU1014,L202617-0063,4,
203,5036,2026-01-05,P08,SKU1003,L202623-0015,6,
204,5036,2026-01-05,P08,SKU1020,L202617-0087,1,
205,5036,2026-01-05,P08,SKU1006,L202601-0024,8,
206,5036,2026-01-05,P08,SKU1006,L202601-0026,11,
207,5036,2026-01-05,P08,SKU1000,L202546-0001,6,
208,5036,2026-01-05,P08,SKU1004,L202607-0018,4,
209,5037,2026-01-05,P04,SKU1007,L202620-0029,3,
210,5037,2026-01-05,P04,SKU1019,L202624-0083,5,
211,5037,2026-01-05,P04,SKU1004,L202547-0016,9,
212,5037,2026-01-05,P04,SKU1005,L202551-0019,11,
213,5037,2026-01-05,P04,SKU1004,L202547-0016,6,
214,5038,2026-01-05,P04,SKU1000,L202546-0001,5,
215,5038,2026-01-05,P04,SKU1023,L202603-0099,9,
216,5038,2026-01-05,P04,SKU1002,L202601-0010,8,
217,5038,2026-01-05,P04,SKU1016,L202620-0073,2,
218,5038,2026-01-05,P04,SKU1007,L202601-0031,1,
219,5038,2026-01-05,P04,SKU1021,L202550-0093,5,
220,5038,2026-01-05,P04,SKU1000,L202546-0001,8,
221,5039,2026-01-05,P07,SKU1015,L202613-0068,8,
222,5039,2026-01-05,P07,SKU1002,L202605-0009,10,
223,5039,2026-01-05,P07,SKU1004,L202548-0017,10,
224,5040,2026-01-05,P06,SKU1019,L202608-0085,5,
225,5040,2026-01-05,P06,SKU1019,L202615-0084,2,
226,5040,2026-01-05,P06,SKU1003,L202623-0015,11,
227,5040,2026-01-05,P06,SKU1017,L202551-0076,7,
228,5040,2026-01-05,P06,SKU1007,L202614-0030,6,
229,5040,2026-01-05,P06,SKU1012,L202608-0052,12,
230,5040,2026-01-05,P06,SKU1013,L202601-0057,11,
231,5040,2026-01-05,P06,SKU1004,L202607-0018,8,
232,5041,2026-01-05,P02,SKU1013,L202546-0055,12,
233,5041,2026-01-05,P02,SKU1025,L202613-0107,9,
234,5041,2026-01-05,P02,SKU1017,L202607-0077,11,
235,5042,2026-01-05,P06,SKU1023,L202625-0098,5,
236,5042,2026-01-05,P06,SKU1011,L202602-0046,10,
237,5042,2026-01-05,P06,SKU1004,L202607-0018,8,
238,5042,2026-01-05,P06,SKU1003,L202607-0014,9,
239,5042,2026-01-05,P06,SKU1024,L202616-0103,10,
240,5042,2026-01-05,P06,SKU1013,L202612-0059,10,
241,5042,2026-01-05,P06,SKU1020,L202552-0088,1,
242,5042,2026-01-05,P06,SKU1021,L202545-0091,1,
243,5043,2026-01-05,P05,SKU1011,L202602-0046,3,
244,5043,2026-01-05,P05,SKU1018,L202611-0082,2,
245,5043,2026-01-05,P05,SKU1020,L202616-0086,2,
246,5043,2026-01-05,P05,SKU1006,L202608-0025,7,
247,5043,2026-01-05,P05,SKU1005,L202615-0021,5,
248,5043,2026-01-05,P05,SKU1024,L202621-0105,10,
249,5043,2026-01-05,P05,SKU1001,L202546-0004,3,
250,5044,2026-01-05,P01,SKU1008,L202613-0036,11,
251,5044,2026-01-05,P01,SKU1019,L202615-0084,7,
252,5044,2026-01-05,P01,SKU1024,L202621-0105,2,
253,5045,2026-01-05,P02,SKU1021,L202550-0093,8,
254,5045,2026-01-05,P02,SKU1009,L202621-0037,4,
255,5045,2026-01-05,P02,SKU1019,L202624-0083,1,
256,5045,2026-01-05,P02,SKU1006,L202601-0024,5,
257,5045,2026-01-05,P02,SKU1003,L202620-0013,8,
258,5045,2026-01-05,P02,SKU1005,L202601-0020,7,
259,5046,2026-01-05,P04,SKU1002,L202601-0010,12,
260,5046,2026-01-05,P04,SKU1000,L202601-0002,2,
261,5046,2026-01-05,P04,SKU1018,L202611-0082,10,
262,5046,2026-01-05,P04,SKU1020,L202617-0087,5,
263,5046,2026-01-05,P04,SKU1000,L202601-0002,3,
264,5046,2026-01-05,P04,SKU1019,L202615-0084,12,
265,5046,2026-01-05,P04,SKU1002,L202601-0010,2,
266,5047,2026-01-05,P07,SKU1012,L202613-0051,12,
267,5047,2026-01-05,P07,SKU1010,L202615-0043,2,
268,5047,2026-01-05,P07,SKU1003,L202623-0015,9,
269,5048,2026-01-05,P06,SKU1023,L202619-0100,3,
270,5048,2026-01-05,P06,SKU1004,L202548-0017,4,
271,5048,2026-01-05,P06,SKU1004,L202607-0018,2,
272,5048,2026-01-05,P06,SKU1024,L202547-0104,8,
273,5048,2026-01-05,P06,SKU1024,L202621-0105,8,
274,5048,2026-01-05,P06,SKU1018,L202547-0081,11,
275,5048,2026-01-05,P06,SKU1014,L202601-0060,8,
276,5049,2026-01-05,P05,SKU1018,L202552-0079,6,
277,5049,2026-01-05,P05,SKU1009,L202611-0040,8,
278,5049,2026-01-05,P05,SKU1011,L202620-0047,2,
279,5049,2026-01-05,P05,SKU1002,L202548-0011,10,
280,5049,2026-01-05,P05,SKU1014,L202608-0064,9,
281,5049,2026-01-05,P05,SKU1023,L202625-0098,8,
282,5050,2026-01-05,P04,SKU1019,L202615-0084,9,
283,5050,2026-01-05,P04,SKU1001,L202601-0005,2,
284,5050,2026-01-05,P04,SKU1010,L202607-0042,9,
285,5050,2026-01-05,P04,SKU1001,L202546-0004,12,
286,5050,2026-01-05,P04,SKU1014,L202608-0064,9,
287,5050,2026-01-05,P04,SKU1011,L202620-0047,5,
288,5050,2026-01-05,P04,SKU1024,L202616-0103,11,
289,5051,2026-01-05,P06,SKU1010,L202607-0042,9,
290,5051,2026-01-05,P06,SKU1009,L202610-0039,12,
291,5051,2026-01-05,P06,SKU1019,L202624-0083,6,
292,5052,2026-01-05,P03,SKU1009,L202611-0040,3,
293,5052,2026-01-05,P03,SKU1002,L202605-0009,9,
294,5052,2026-01-05,P03,SKU1025,L202548-0108,3,
295,5052,2026-01-05,P03,SKU1023,L202619-0100,9,
296,5052,2026-01-05,P03,SKU1021,L202548-0092,9,
297,5052,2026-01-05,P03,SKU1011,L202620-0047,3,
298,5052,2026-01-05,P03,SKU1010,L202625-0045,4,
299,5053,2026-01-05,P03,SKU1002,L202605-0009,2,
300,5053,2026-01-05,P03,SKU1017,L202625-0075,11,
301,5053,2026-01-05,P03,SKU1024,L202621-0105,3,
302,5053,2026-01-05,P03,SKU1004,L202547-0016,3,
303,5054,2026-01-05,P03,SKU1001,L202601-0005,6,
304,5054,2026-01-05,P03,SKU1007,L202614-0030,10,
305,5054,2026-01-05,P03,SKU1023,L202603-0099,4,
306,5054,2026-01-05,P03,SKU1009,L202611-0040,4,
307,5054,2026-01-05,P03,SKU1018,L202611-0082,8,
308,5054,2026-01-05,P03,SKU1024,L202547-0104,9,
309,5054,2026-01-05,P03,SKU1005,L202601-0020,10,
310,5054,2026-01-05,P03,SKU1008,L202616-0033,11,
311,5054,2026-01-05,P03,SKU1011,L202621-0048,2,
312,5055,2026-01-05,P02,SKU1002,L202621-0008,5,
313,5055,2026-01-05,P02,SKU1016,L202602-0070,7,
314,5055,2026-01-05,P02,SKU1007,L202614-0030,6,
315,5055,2026-01-05,P02,SKU1013,L202546-0055,7,
316,5055,2026-01-05,P02,SKU1007,L202614-0030,2,
317,5055,2026-01-05,P02,SKU1000,L202601-0002,2,
318,5056,2026-01-05,P06,SKU1004,L202547-0016,5,
319,5056,2026-01-05,P06,SKU1015,L202613-0068,3,
320,5056,2026-01-05,P06,SKU1015,L202602-0067,10,
321,5056,2026-01-05,P06,SKU1002,L202614-0007,5,
322,5057,2026-01-05,P03,SKU1003,L202607-0014,4,
323,5057,2026-01-05,P03,SKU1001,L202546-0004,7,
324,5057,2026-01-05,P03,SKU1019,L202615-0084,2,
325,5057,2026-01-05,P03,SKU1015,L202613-0068,9,wrong_qty
326,5057,2026-01-05,P03,SKU1007,L202548-0032,3,
327,5057,2026-01-05,P03,SKU1000,L202618-0003,6,
328,5057,2026-01-05,P03,SKU1013,L202545-0056,11,
329,5057,2026-01-05,P03,SKU1016,L202622-0071,2,
330,5058,2026-01-05,P01,SKU1015,L202608-0066,11,
331,5058,2026-01-05,P01,SKU1011,L202620-0047,12,
332,5058,2026-01-05,P01,SKU1025,L202620-0106,6,
333,5058,2026-01-05,P01,SKU1021,L202607-0089,10,
334,5058,2026-01-05,P01,SKU1010,L202615-0043,1,
335,5058,2026-01-05,P01,SKU1010,L202615-0043,11,
336,5058,2026-01-05,P01,SKU1022,L202625-0097,11,
337,5058,2026-01-05,P01,SKU1004,L202547-0016,12,
338,5059,2026-01-06,P01,SKU1006,L202601-0024,4,
339,5059,2026-01-06,P01,SKU1010,L202546-0044,9,
340,5059,2026-01-06,P01,SKU1017,L202603-0078,5,
341,5059,2026-01-06,P01,SKU1020,L202616-0086,5,
342,5059,2026-01-06,P01,SKU1024,L202611-0101,11,
343,5059,2026-01-06,P01,SKU1003,L202607-0014,7,
344,5060,2026-01-06,P08,SKU1010,L202615-0043,8,
345,5060,2026-01-06,P08,SKU1011,L202621-0048,5,
346,5060,2026-01-06,P08,SKU1023,L202603-0099,2,
347,5060,2026-01-06,P08,SKU1005,L202603-0023,5,
348,5060,2026-01-06,P08,SKU1002,L202605-0009,11,
349,5060,2026-01-06,P08,SKU1014,L202608-0064,12,
350,5060,2026-01-06,P08,SKU1022,L202625-0097,6,
351,5060,2026-01-06,P08,SKU1023,L202603-0099,10,
352,5061,2026-01-06,P05,SKU1002,L202606-0012,11,
353,5061,2026-01-06,P05,SKU1016,L202608-0074,11,
354,5062,2026-01-06,P01,SKU1019,L202608-0085,8,
355,5062,2026-01-06,P01,SKU1002,L202621-0008,11,
356,5062,2026-01-06,P01,SKU1012,L202612-0053,1,
357,5062,2026-01-06,P01,SKU1021,L202548-0092,6,
358,5063,2026-01-06,P02,SKU1016,L202622-0071,7,
359,5063,2026-01-06,P02,SKU1008,L202615-0034,2,
360,5063,2026-01-06,P02,SKU1005,L202551-0022,9,
361,5063,2026-01-06,P02,SKU1017,L202625-0075,5,
362,5064,2026-01-06,P08,SKU1019,L202615-0084,12,
363,5064,2026-01-06,P08,SKU1015,L202608-0066,2,
364,5064,2026-01-06,P08,SKU1002,L202601-0010,3,
365,5064,2026-01-06,P08,SKU1014,L202601-0060,11,
366,5064,2026-01-06,P08,SKU1010,L202546-0044,12,
367,5065,2026-01-06,P05,SKU1005,L202601-0020,6,
368,5065,2026-01-06,P05,SKU1003,L202620-0013,3,
369,5065,2026-01-06,P05,SKU1015,L202608-0066,6,
370,5065,2026-01-06,P05,SKU1011,L202620-0047,9,
371,5065,2026-01-06,P05,SKU1002,L202614-0007,5,
372,5065,2026-01-06,P05,SKU1022,L202625-0097,9,
373,5066,2026-01-06,P07,SKU1004,L202548-0017,11,
374,5066,2026-01-06,P07,SKU1014,L202625-0065,9,
375,5066,2026-01-06,P07,SKU1024,L202621-0105,11,
376,5067,2026-01-06,P03,SKU1016,L202552-0069,2,
377,5067,2026-01-06,P03,SKU1009,L202604-0038,3,
378,5067,2026-01-06,P03,SKU1022,L202609-0095,6,
379,5067,2026-01-06,P03,SKU1016,L202622-0071,2,
380,5067,2026-01-06,P03,SKU1020,L202552-0088,5,
381,5067,2026-01-06,P03,SKU1009,L202625-0041,9,
382,5067,2026-01-06,P03,SKU1020,L202616-0086,10,
383,5067,2026-01-06,P03,SKU1004,L202547-0016,11,
384,5068,2026-01-06,P06,SKU1000,L202546-0001,1,
385,5068,2026-01-06,P06,SKU1024,L202621-0105,5,
386,5069,2026-01-06,P07,SKU1015,L202613-0068,9,
387,5069,2026-01-06,P07,SKU1009,L202611-0040,4,
388,5070,2026-01-06,P07,SKU1014,L202601-0060,12,
389,5070,2026-01-06,P07,SKU1014,L202617-0063,8,
390,5070,2026-01-06,P07,SKU1010,L202615-0043,6,
391,5070,2026-01-06,P07,SKU1010,L202546-0044,7,
392,5070,2026-01-06,P07,SKU1011,L202621-0048,9,
393,5070,2026-01-06,P07,SKU1007,L202614-0030,2,
394,5071,2026-01-06,P04,SKU1003,L202620-0013,5,
395,5071,2026-01-06,P04,SKU1019,L202615-0084,4,
396,5071,2026-01-06,P04,SKU1005,L202615-0021,10,
397,5071,2026-01-06,P04,SKU1006,L202601-0024,8,
398,5072,2026-01-06,P08,SKU1009,L202611-0040,1,
399,5072,2026-01-06,P08,SKU1012,L202612-0053,8,
400,5072,2026-01-06,P08,SKU1006,L202601-0026,6,
401,5072,2026-01-06,P08,SKU1009,L202611-0040,10,
402,5072,2026-01-06,P08,SKU1020,L202552-0088,8,
403,5072,2026-01-06,P08,SKU1000,L202546-0001,7,
404,5072,2026-01-06,P08,SKU1008,L202607-0035,7,
405,5072,2026-01-06,P08,SKU1012,L202613-0049,10,
406,5072,2026-01-06,P08,SKU1011,L202621-0048,5,
407,5073,2026-01-06,P08,SKU1019,L202608-0085,10,
408,5073,2026-01-06,P08,SKU1003,L202607-0014,6,
409,5073,2026-01-06,P08,SKU1010,L202546-0044,3,
410,5073,2026-01-06,P08,SKU1016,L202617-0072,9,
411,5073,2026-01-06,P08,SKU1001,L202546-0004,12,
412,5073,2026-01-06,P08,SKU1015,L202613-0068,8,
413,5074,2026-01-06,P03,SKU1019,L202615-0084,3,
414,5074,2026-01-06,P03,SKU1019,L202608-0085,5,
415,5074,2026-01-06,P03,SKU1016,L202620-0073,9,
416,5074,2026-01-06,P03,SKU1018,L202547-0081,8,
417,5074,2026-01-06,P03,SKU1011,L202620-0047,11,
418,5074,2026-01-06,P03,SKU1013,L202612-0059,5,
419,5074,2026-01-06,P03,SKU1023,L202619-0100,11,
420,5075,2026-01-06,P08,SKU1020,L202552-0088,10,
421,5075,2026-01-06,P08,SKU1001,L202619-0006,8,
422,5075,2026-01-06,P08,SKU1020,L202552-0088,10,
423,5075,2026-01-06,P08,SKU1012,L202612-0050,11,
424,5075,2026-01-06,P08,SKU1018,L202552-0079,4,
425,5075,2026-01-06,P08,SKU1010,L202625-0045,3,
426,5076,2026-01-06,P04,SKU1016,L202620-0073,8,
427,5076,2026-01-06,P04,SKU1023,L202619-0100,1,
428,5076,2026-01-06,P04,SKU1016,L202602-0070,9,
429,5076,2026-01-06,P04,SKU1021,L202548-0092,9,
430,5076,2026-01-06,P04,SKU1005,L202551-0022,9,
431,5076,2026-01-06,P04,SKU1011,L202621-0048,12,
432,5076,2026-01-06,P04,SKU1025,L202548-0108,10,
433,5076,2026-01-06,P04,SKU1007,L202620-0029,9,
434,5077,2026-01-06,P05,SKU1022,L202609-0095,12,
435,5077,2026-01-06,P05,SKU1010,L202625-0045,6,
436,5077,2026-01-06,P05,SKU1025,L202548-0108,5,
437,5077,2026-01-06,P05,SKU1021,L202550-0093,7,
438,5077,2026-01-06,P05,SKU1012,L202613-0051,3,
439,5077,2026-01-06,P05,SKU1009,L202621-0037,6,
440,5078,2026-01-06,P05,SKU1006,L202601-0024,9,
441,5078,2026-01-06,P05,SKU1017,L202607-0077,3,
442,5078,2026-01-06,P05,SKU1023,L202619-0100,4,
443,5078,2026-01-06,P05,SKU1021,L202550-0093,4,
444,5078,2026-01-06,P05,SKU1001,L202546-0004,7,
445,5078,2026-01-06,P05,SKU1015,L202608-0066,11,
446,5078,2026-01-06,P05,SKU1000,L202618-0003,3,
447,5078,2026-01-06,P05,SKU1015,L202602-0067,11,
448,5078,2026-01-06,P05,SKU1009,L202610-0039,5,
449,5079,2026-01-06,P02,SKU1017,L202625-0075,3,
