lot_code,sku,received_date,expiry_date,qty_received
L202546-0055,SKU1013,2025-11-11,2026-05-10,240
L202545-0056,SKU1013,2025-11-07,2026-03-07,120
L202601-0057,SKU1013,2026-01-03,2026-05-03,120
L202624-0058,SKU1013,2026-06-14,2027-03-11,120
L202612-0059,SKU1013,2026-03-17,2026-09-13,360
L202601-0060,SKU1014,2025-12-30,2026-06-28,480
L202602-0061,SKU1014,2026-01-07,2027-01-07,480
L202552-0062,SKU1014,2025-12-24,2026-04-23,120
L202617-0063,SKU1014,2026-04-23,2027-04-23,360
L202608-0064,SKU1014,2026-02-22,2027-02-22,480
L202625-0065,SKU1014,2026-06-15,2026-10-13,120
L202608-0066,SKU1015,2026-02-17,2026-11-14,120
L202602-0067,SKU1015,2026-01-08,2026-07-07,240
L202613-0068,SKU1015,2026-03-23,2027-03-23,240
L202552-0069,SKU1016,2025-12-22,2026-09-18,480
L202602-0070,SKU1016,2026-01-08,2026-05-08,480
L202622-0071,SKU1016,2026-05-31,2026-09-28,120
L202617-0072,SKU1016,2026-04-21,2026-08-19,120
L202620-0073,SKU1016,2026-05-17,2026-11-13,240
L202608-0074,SKU1016,2026-02-18,2027-02-18,480
L202625-0075,SKU1017,2026-06-15,2027-06-15,120
L202551-0076,SKU1017,2025-12-18,2026-12-18,120
L202607-0077,SKU1017,2026-02-13,2026-11-10,480
L202603-0078,SKU1017,2026-01-18,2027-01-18,480
L202552-0079,SKU1018,2025-12-24,2026-09-20,240
L202547-0080,SKU1018,2025-11-20,2026-03-20,360
L202547-0081,SKU1018,2025-11-20,2026-03-20,480
L202611-0082,SKU1018,2026-03-14,2026-09-10,120
L202624-0083,SKU1019,2026-06-11,2026-12-08,120
L202615-0084,SKU1019,2026-04-07,2026-08-05,240
L202608-0085,SKU1019,2026-02-17,2026-06-17,240
L202616-0086,SKU1020,2026-04-13,2026-08-11,480
L202617-0087,SKU1020,2026-04-23,2027-01-18,360
L202552-0088,SKU1020,2025-12-28,2026-09-24,240
L202607-0089,SKU1021,2026-02-15,2026-08-14,360
L202610-0090,SKU1021,2026-03-03,2026-11-28,120
L202545-0091,SKU1021,2025-11-08,2026-11-08,120
L202548-0092,SKU1021,2025-11-24,2026-05-23,360
L202550-0093,SKU1021,2025-12-09,2026-09-05,120
L202606-0094,SKU1022,2026-02-08,2026-11-05,240
L202609-0095,SKU1022,2026-02-26,2026-11-23,120
L202617-0096,SKU1022,2026-04-25,2027-01-20,120
L202625-0097,SKU1022,2026-06-18,2026-12-15,360
L202625-0098,SKU1023,2026-06-21,2026-10-19,240
L202603-0099,SKU1023,2026-01-14,2026-10-11,240
L202619-0100,SKU1023,2026-05-08,2027-02-02,240
L202611-0101,SKU1024,2026-03-15,2027-03-15,360
L202624-0102,SKU1024,2026-06-10,2026-10-08,120
L202616-0103,SKU1024,2026-04-17,2027-04-17,360
L202547-0104,SKU1024,2025-11-17,2026-03-17,360
L202621-0105,SKU1024,2026-05-22,2026-11-18,360
L202620-0106,SKU1025,2026-05-14,2027-05-14,480
L202613-0107,SKU1025,2026-03-29,2026-07-27,120
L202548-0108,SKU1025,2025-11-25,2026-05-24,120
L202623-0109,SKU1025,2026-06-07,2027-03-04,240
